Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Stress_Level
6.3,3.4,5.2,5.4,3.7,High
7.3,2.5,8.3,5.3,0.6,Moderate
5.3,2.1,5.8,4.4,6.4,High
7.6,2.7,5.2,0.5,8.0,High
5.4,0.0,9.8,4.4,4.4,Low
6.8,1.2,6.7,4.6,4.7,Moderate
5.9,0.4,8.3,4.6,4.8,Low
6.3,0.1,5.4,5.8,6.4,High
8.1,1.5,6.0,0.7,7.7,High
8.1,3.1,8.2,2.4,2.2,High
9.9,2.4,7.9,2.8,1.0,High
9.1,2.6,5.6,2.0,4.7,High
7.2,2.5,9.7,1.1,3.5,Moderate
5.6,0.8,9.4,3.9,4.3,Low
9.3,3.4,9.6,0.4,1.3,High
8.8,1.8,9.2,3.1,1.1,High
5.9,2.2,9.9,5.6,0.4,Low
5.2,0.7,5.7,4.4,8.0,High
7.5,3.4,8.7,2.4,2.0,Moderate
8.0,2.0,6.5,3.4,4.1,Moderate
8.2,3.0,5.8,2.8,4.2,High
5.0,1.0,8.6,6.0,3.4,Low
9.0,0.8,7.8,4.4,2.0,High
8.1,0.8,6.8,4.7,3.6,High
8.8,0.1,8.7,1.2,5.2,High
9.8,1.5,6.6,0.9,5.2,High
10.0,1.5,7.2,3.8,1.5,High
9.4,2.4,7.0,2.1,3.1,High
9.0,0.4,7.9,2.9,3.8,High
8.2,0.3,7.9,3.4,4.2,High
8.4,3.2,6.3,5.0,1.1,High
7.5,0.3,5.3,2.0,8.9,High
8.9,2.1,7.2,0.9,4.9,High
6.6,1.7,5.4,1.3,9.0,High
10.0,3.7,8.2,0.9,1.2,High
8.2,3.1,5.6,2.5,4.6,High
7.9,2.4,5.9,2.2,5.6,High
6.7,0.1,5.1,5.0,7.1,High
6.5,3.8,6.3,2.6,4.8,Moderate
9.4,3.4,5.9,4.3,1.0,High
5.7,0.3,8.6,3.0,6.4,Low
7.2,2.9,8.8,0.8,4.3,Moderate
8.8,2.6,9.8,0.2,2.6,High
5.3,1.1,6.3,1.5,9.8,Low
6.4,3.0,7.2,4.7,2.7,Moderate
5.3,2.0,5.2,0.4,11.1,High
6.7,3.6,5.1,4.0,4.6,High
9.8,2.2,9.7,0.1,2.2,High
8.7,3.9,6.3,3.3,1.8,High
6.0,2.3,7.3,5.8,2.6,Moderate
5.6,0.6,6.1,1.5,10.2,Low
9.3,2.2,7.6,0.6,4.3,High
5.3,2.8,7.7,0.5,7.7,Low
7.3,1.9,5.8,5.7,3.3,High
7.3,1.6,8.3,3.3,3.5,Moderate
5.3,2.1,9.0,2.8,4.8,Low
5.8,1.3,8.8,3.1,5.0,Low
6.0,3.5,9.4,4.4,0.7,Moderate
9.9,3.1,5.1,0.4,5.5,High
7.3,3.6,7.7,2.7,2.7,Moderate
9.1,1.5,8.9,4.3,0.2,High
6.0,2.1,6.4,4.8,4.7,Moderate
9.0,1.6,9.6,2.0,1.8,High
5.8,2.8,9.0,1.9,4.5,Low
5.9,3.6,8.3,0.9,5.3,Low
7.2,2.5,5.4,5.3,3.6,High
9.8,1.7,9.9,1.7,0.9,High
8.2,0.7,9.4,2.4,3.3,High
8.6,3.6,5.4,4.4,2.0,High
5.9,3.4,9.1,3.0,2.6,Low
7.4,3.3,7.3,2.1,3.9,Moderate
7.5,3.3,6.7,1.0,5.5,Moderate
5.5,1.0,5.7,2.1,9.7,High
7.3,3.0,8.3,3.4,2.0,Moderate
7.4,3.9,8.2,0.6,3.9,Moderate
8.4,1.3,8.4,0.4,5.5,High
6.1,3.3,6.4,3.9,4.3,Moderate
8.5,2.1,6.5,1.3,5.6,High
9.4,3.1,8.9,1.7,0.9,High
6.3,3.6,8.4,3.2,2.5,Moderate
7.3,3.5,7.7,2.1,3.4,Moderate
9.9,0.4,7.1,0.3,6.3,High
6.4,3.4,6.5,5.5,2.2,Moderate
8.8,3.2,5.1,5.8,1.1,High
9.1,1.1,9.4,0.5,3.9,High
8.5,2.2,5.5,1.5,6.3,High
6.5,2.4,6.5,1.8,6.8,Moderate
8.7,0.2,9.5,4.8,0.8,High
9.5,0.7,5.4,1.4,7.0,High
9.0,0.1,7.9,6.0,1.0,High
5.3,3.3,8.0,0.7,6.7,Low
5.5,3.6,8.3,5.0,1.6,Low
7.6,1.7,6.6,2.6,5.5,Moderate
8.9,2.4,9.5,1.4,1.8,High
8.0,2.8,6.2,3.1,3.9,Moderate
5.5,1.5,7.4,3.9,5.7,Low
8.7,2.0,8.2,0.4,4.7,High
6.3,1.4,7.4,0.3,8.6,Moderate
9.9,1.3,7.4,1.1,4.3,High
8.1,1.1,6.0,3.1,5.7,High
9.0,2.3,7.6,1.5,3.6,High
9.7,1.6,5.4,3.7,3.6,High
7.5,3.5,7.5,3.9,1.6,Moderate
10.0,0.5,6.4,2.4,4.7,High
9.5,2.9,8.0,1.1,2.5,High
9.1,3.8,9.1,0.0,2.0,High
6.3,0.2,8.0,4.1,5.4,Moderate
5.6,1.5,7.3,2.2,7.4,Low
8.8,0.3,5.4,2.1,7.4,High
9.7,2.7,8.4,1.2,2.0,High
8.2,3.7,8.1,3.5,0.5,High
8.6,0.5,9.5,0.4,5.0,High
5.1,1.7,6.5,2.9,7.8,Low
7.9,0.2,5.6,3.4,6.9,High
8.3,3.4,8.5,1.6,2.2,High
8.4,1.1,6.5,4.7,3.3,High
9.1,3.4,9.6,0.8,1.1,High
6.6,2.3,6.9,3.6,4.6,Moderate
6.9,0.7,7.2,0.9,8.3,Moderate
9.5,1.4,5.8,0.2,7.1,High
6.7,0.3,7.0,1.9,8.1,Moderate
8.4,2.4,6.8,1.3,5.1,High
8.4,0.6,7.4,0.2,7.4,High
7.5,3.9,6.9,0.2,5.5,Moderate
5.8,0.1,8.8,2.8,6.5,Low
6.4,3.6,5.6,5.7,2.7,High
8.0,3.3,9.9,0.8,2.0,Moderate
9.8,1.6,6.9,1.9,3.8,High
7.8,2.2,8.8,4.3,0.9,Moderate
7.2,1.2,6.3,1.2,8.1,Moderate
6.4,3.9,7.8,2.0,3.9,Moderate
7.9,0.6,7.2,3.8,4.5,Moderate
10.0,3.5,8.1,1.4,1.0,High
8.1,0.8,7.0,0.2,7.9,High
6.1,3.9,9.5,3.2,1.3,Moderate
7.7,3.5,5.7,4.7,2.4,High
6.4,3.5,9.7,0.7,3.7,Moderate
7.3,3.9,7.4,4.7,0.7,Moderate
6.4,0.8,8.8,2.3,5.7,Moderate
7.6,2.0,7.9,5.2,1.3,Moderate
9.1,3.1,7.9,3.7,0.2,High
6.0,0.4,9.3,2.6,5.7,Moderate
8.1,3.7,5.1,2.9,4.2,High
8.4,2.9,8.5,0.6,3.6,High
9.0,1.1,6.1,5.7,2.1,High
5.0,4.0,8.4,5.0,1.6,Low
8.7,0.6,8.8,4.5,1.4,High
8.3,3.1,9.2,2.1,1.3,High
5.4,1.6,7.0,0.4,9.6,Low
6.7,0.4,9.0,5.7,2.2,Moderate
5.4,2.0,9.0,4.2,3.4,Low
5.3,0.3,7.0,1.8,9.6,Low
9.0,3.7,7.0,3.9,0.4,High
6.6,1.9,6.1,3.8,5.6,Moderate
6.8,2.6,5.6,5.3,3.7,High
7.5,1.8,7.9,3.7,3.1,Moderate
6.2,2.9,9.1,4.7,1.1,Moderate
7.8,2.1,5.7,4.7,3.7,High
6.4,0.5,8.1,0.3,8.7,Moderate
8.7,1.3,5.0,3.1,5.9,High
9.2,0.0,6.2,4.4,4.2,High
6.6,0.4,6.8,1.6,8.6,Moderate
8.9,3.6,7.2,3.9,0.4,High
6.9,3.9,5.4,4.1,3.7,High
8.2,2.8,5.0,1.0,7.0,High
8.6,2.7,9.8,2.2,0.7,High
6.5,0.4,8.9,3.9,4.3,Moderate
5.2,1.4,9.8,3.0,4.6,Low
6.0,1.5,6.8,0.3,9.4,Moderate
8.8,1.7,9.1,3.7,0.7,High
7.4,3.5,6.1,4.1,2.9,Moderate
8.0,1.2,5.7,3.9,5.2,High
8.2,1.6,8.6,1.1,4.5,High
9.5,1.1,6.8,0.3,6.3,High
6.3,3.3,5.1,2.3,7.0,High
6.7,0.1,5.6,2.5,9.1,High
7.7,2.4,5.0,2.8,6.1,High
9.8,2.1,8.4,1.2,2.5,High
7.6,3.9,5.6,0.1,6.8,High
8.9,3.2,5.6,1.6,4.7,High
6.7,1.5,5.0,1.8,9.0,High
8.2,3.9,9.2,0.1,2.6,High
8.9,1.8,7.0,1.8,4.5,High
5.3,0.9,6.2,2.9,8.7,Low
5.3,3.8,9.7,4.1,1.1,Low
10.0,2.2,9.8,0.2,1.8,High
6.0,0.6,8.1,4.7,4.6,Moderate
7.9,0.6,9.1,3.8,2.6,Moderate
6.3,1.4,9.6,1.7,5.0,Moderate
7.3,3.6,8.5,0.3,4.3,Moderate
5.7,3.8,7.6,1.5,5.4,Low
7.5,2.7,5.4,1.6,6.8,High
7.7,1.7,5.2,1.0,8.4,High
7.2,0.8,5.2,5.1,5.7,High
9.8,0.8,9.8,3.6,0.0,High
8.6,3.9,7.8,1.0,2.7,High
5.4,2.5,9.9,1.1,5.1,Low
9.0,3.6,9.7,1.6,0.1,High
8.8,0.6,7.4,4.3,2.9,High
6.2,2.6,8.3,1.0,5.9,Moderate
7.5,0.0,5.0,2.1,9.4,High
9.6,0.9,8.2,1.2,4.1,High
8.6,0.4,7.1,0.2,7.7,High
7.4,2.6,5.6,1.7,6.7,High
10.0,0.2,8.8,1.9,3.1,High
7.0,3.0,9.6,4.2,0.2,Moderate
8.9,1.0,7.8,2.2,4.1,High
8.3,1.0,6.0,5.5,3.2,High
6.1,0.2,5.2,1.1,11.4,High
9.3,1.1,9.8,2.2,1.6,High
7.6,3.0,6.4,2.1,4.9,Moderate
9.5,3.8,9.5,0.5,0.7,High
7.5,0.8,8.0,1.1,6.6,Moderate
6.7,3.4,6.0,0.4,7.5,Moderate
9.1,3.3,6.7,3.4,1.5,High
8.9,2.6,5.8,5.3,1.4,High
7.1,0.2,5.6,4.6,6.5,High
5.0,1.7,7.6,0.3,9.4,Low
6.2,0.0,8.6,5.8,3.4,Moderate
6.1,2.7,8.7,5.1,1.4,Moderate
6.6,2.9,9.1,1.0,4.4,Moderate
6.9,3.6,9.0,4.4,0.1,Moderate
8.0,2.6,5.4,3.3,4.7,High
8.5,0.7,8.9,3.4,2.5,High
6.5,2.9,8.8,0.6,5.2,Moderate
7.6,2.0,6.8,5.6,2.0,Moderate
8.6,1.8,9.6,2.8,1.2,High
8.6,3.4,6.4,4.5,1.1,High
6.7,3.9,9.3,2.9,1.2,Moderate
8.6,2.2,9.7,1.7,1.8,High
8.9,2.9,6.9,0.1,5.2,High
9.2,0.0,8.5,5.8,0.5,High
8.5,3.3,7.7,4.4,0.1,High
5.3,2.0,8.6,5.2,2.9,Low
7.8,1.6,5.7,5.2,3.7,High
5.8,1.2,6.5,5.2,5.3,Low
6.3,2.5,7.9,5.0,2.3,Moderate
9.5,0.0,8.4,0.3,5.8,High
6.5,1.4,8.1,2.0,6.0,Moderate
8.7,1.6,5.3,4.7,3.7,High
8.4,1.3,5.3,2.2,6.8,High
9.7,2.6,8.4,2.1,1.2,High
8.8,0.4,6.4,1.7,6.7,High
7.2,3.9,5.3,3.1,4.5,High
8.7,2.8,7.1,1.9,3.5,High
7.0,1.1,6.0,2.9,7.0,Moderate
8.3,3.9,8.0,0.3,3.5,High
5.4,3.8,6.5,0.6,7.7,Low
8.2,1.1,5.1,5.8,3.8,High
6.3,2.7,8.5,3.7,2.8,Moderate
8.0,3.5,9.7,0.3,2.5,Moderate
5.8,3.8,8.7,5.0,0.7,Low
8.5,2.7,7.0,0.1,5.7,High
7.9,1.0,7.3,5.7,2.1,Moderate
5.9,2.7,9.9,0.6,4.9,Low
5.0,1.7,5.5,4.5,7.3,High
6.3,1.7,8.6,0.1,7.3,Moderate
7.9,2.5,8.2,1.3,4.1,Moderate
6.0,3.5,8.7,0.1,5.7,Moderate
6.2,0.9,6.4,1.5,9.0,Moderate
8.7,2.4,8.4,0.4,4.1,High
9.8,3.4,9.0,1.5,0.3,High
6.0,2.5,8.7,4.4,2.4,Moderate
7.6,0.3,6.9,5.5,3.7,Moderate
