branch,cgpa,internship_count,project_count,certifications_count,coding_skills_score,communication_skills_score,soft_skills_score,hackathon_participation,placement_probability
6,7.34,3,6,3,82,60,53,1,76
6,8.51,3,2,4,83,77,80,1,75
6,9.97,0,6,0,42,64,68,1,66
5,8.3,1,2,0,45,59,78,1,53
6,8.97,2,7,5,70,46,61,0,83
3,5.14,4,3,3,65,46,44,0,59
4,9.05,2,2,0,47,71,95,0,60
6,6.5,0,4,0,78,71,83,1,54
5,5.63,3,6,3,68,61,57,0,67
4,5.57,4,7,1,56,88,99,0,70
6,8.4,1,7,5,55,64,90,0,77
1,9.99,4,6,3,93,45,55,0,90
6,8.33,0,5,2,88,90,83,1,71
2,6.31,3,4,3,84,66,45,1,68
3,6.02,0,2,5,43,57,40,1,50
4,7.63,1,3,3,49,51,51,1,58
3,5.33,2,5,5,55,67,63,0,63
1,7.0,3,4,1,58,58,50,1,62
1,8.33,3,2,3,78,82,82,1,72
2,9.84,0,7,3,89,56,80,1,80
3,7.13,0,7,1,52,74,73,0,62
4,6.0,0,3,3,99,54,68,1,57
1,9.09,3,2,1,43,44,71,0,62
1,8.72,0,6,2,71,75,96,1,71
6,9.3,4,4,1,92,97,60,0,83
2,6.07,4,4,0,57,72,79,1,61
5,7.02,4,5,0,55,60,72,1,65
1,9.91,3,7,5,64,74,72,1,91
4,5.79,0,3,1,89,81,67,1,53
4,8.36,1,1,3,55,66,83,0,59
6,6.19,0,2,4,61,84,75,0,54
4,7.5,3,3,4,99,69,40,0,75
6,9.0,4,1,2,63,78,51,0,70
1,7.44,3,3,2,67,85,85,0,67
1,9.03,0,2,4,62,97,72,0,67
1,7.13,3,2,4,93,69,83,0,70
1,10.0,1,5,1,95,98,44,0,80
5,7.18,3,4,4,60,84,41,1,72
2,5.75,2,4,0,97,95,75,1,62
2,7.01,3,4,2,48,60,63,1,63
5,8.71,0,5,5,41,65,82,1,69
1,9.24,2,4,2,77,63,93,0,73
4,7.3,4,3,0,67,93,89,1,67
6,7.97,0,4,2,65,61,90,1,60
2,9.22,1,4,4,99,76,89,1,79
3,9.07,3,6,2,99,82,91,0,86
6,8.29,3,2,0,66,65,86,1,62
3,9.08,0,5,2,94,61,60,0,72
3,7.88,3,5,5,64,85,99,1,79
1,5.02,3,7,5,60,72,69,1,71
3,5.21,4,4,5,77,63,54,0,69
1,9.9,3,6,5,64,44,48,0,86
5,5.72,3,7,4,97,63,94,1,77
4,7.02,4,7,5,77,74,71,0,85
3,9.67,3,1,5,85,97,47,0,81
4,5.98,4,2,1,50,61,62,1,55
1,9.22,1,4,5,67,72,66,0,76
3,9.09,3,1,4,88,56,81,0,73
6,9.93,0,7,5,75,91,47,1,86
5,6.41,2,3,2,43,51,68,1,54
2,6.58,1,6,5,58,69,50,1,68
5,9.51,3,6,3,63,65,60,1,82
3,6.17,0,2,2,61,52,90,0,47
5,7.74,2,6,5,94,45,83,1,79
2,8.54,4,5,5,87,42,78,0,84
6,6.36,3,1,2,64,100,69,1,59
4,9.69,4,4,0,47,50,72,0,71
6,8.33,1,1,3,90,82,42,0,65
5,5.24,2,5,0,59,99,94,1,57
2,5.68,2,3,5,40,99,52,0,61
4,5.95,4,1,0,43,92,75,0,53
2,6.22,4,4,4,51,49,62,0,66
6,8.65,1,1,1,64,50,65,0,56
1,5.44,0,6,2,60,55,49,1,54
1,6.75,3,3,3,58,59,77,1,63
4,9.56,0,1,2,73,81,75,0,62
4,7.78,2,3,0,45,83,62,1,58
4,6.33,3,7,1,91,58,47,0,72
1,9.79,1,3,0,93,48,53,1,67
6,6.22,0,7,2,74,75,63,1,64
4,9.53,0,2,4,42,97,94,0,66
1,8.63,3,2,2,72,54,57,0,67
4,8.7,1,4,0,48,62,79,1,60
4,8.82,1,4,3,46,60,76,1,66
2,7.53,0,4,3,80,78,85,0,65
4,9.07,0,3,3,66,44,64,0,63
1,9.18,4,3,3,40,90,93,0,76
6,6.8,3,7,3,79,61,86,0,76
1,7.0,1,2,5,57,96,59,1,63
1,9.44,2,6,1,74,70,64,0,77
4,7.62,3,7,1,56,54,56,1,71
2,9.33,4,7,4,78,67,43,1,91
3,8.13,3,3,3,99,77,98,1,76
3,7.97,0,7,0,50,91,60,0,65
3,5.15,3,2,0,76,54,59,1,50
1,6.39,3,1,2,84,88,84,0,61
4,7.51,3,4,3,50,58,86,0,67
3,7.94,2,4,0,42,74,80,1,60
5,8.15,4,5,5,52,57,56,1,79
5,8.58,3,6,4,91,49,74,0,83
5,8.28,3,2,0,99,54,80,0,66
6,9.24,2,5,5,67,89,99,0,83
4,6.48,1,4,5,97,63,62,1,68
1,8.21,3,5,4,77,86,60,0,81
1,5.26,3,1,3,93,95,82,0,61
4,7.4,1,7,2,86,90,93,1,74
2,6.34,3,5,2,73,59,91,0,66
2,6.9,3,1,1,94,76,60,1,62
6,6.77,3,4,3,67,50,63,0,66
4,5.3,4,3,0,100,48,76,1,59
2,7.33,0,7,2,41,44,97,0,60
6,9.97,4,2,5,96,50,57,1,84
3,6.49,1,7,4,85,93,95,1,75
3,8.68,4,5,5,41,78,83,0,81
6,7.74,4,7,4,76,66,58,1,85
4,6.63,2,6,0,55,41,44,0,59
3,5.45,1,1,0,47,91,100,0,43
4,6.08,1,6,3,79,93,83,1,68
2,8.91,1,4,0,100,59,66,0,68
3,6.4,4,6,0,50,60,45,1,65
2,5.72,1,6,0,84,90,88,0,61
4,6.66,2,4,2,54,89,53,0,62
4,7.92,3,3,3,43,69,42,0,66
5,8.52,4,7,0,62,87,40,0,80
6,6.94,3,6,0,47,40,70,0,62
1,7.49,3,6,5,55,74,94,1,78
6,7.27,4,6,5,55,65,84,1,79
4,5.05,4,4,4,63,71,89,1,65
4,6.98,1,6,2,92,48,49,0,67
6,7.94,2,7,0,49,88,94,0,70
4,7.85,4,4,2,73,79,99,1,75
2,8.75,3,3,3,57,60,70,1,71
3,8.35,4,4,3,92,55,90,1,79
4,6.38,2,6,5,55,51,90,0,68
6,6.28,0,7,1,75,75,56,0,62
6,7.32,3,1,4,91,76,78,1,69
6,8.66,0,7,1,90,66,99,0,73
5,5.47,0,6,2,96,46,79,0,59
2,9.74,2,7,4,47,69,87,0,83
2,7.72,4,5,5,59,63,55,1,79
5,6.53,0,5,0,62,89,66,0,56
2,8.47,1,7,5,79,93,55,0,84
5,5.22,4,1,5,53,69,91,0,59
2,7.42,3,5,4,55,59,80,0,72
5,7.43,4,7,4,77,85,84,1,85
5,5.81,2,7,3,57,79,43,1,68
2,9.19,2,7,1,79,84,81,0,81
5,8.98,3,6,3,90,67,92,1,84
2,5.76,3,4,3,69,43,66,1,61
5,6.82,3,6,1,75,51,93,0,68
6,5.5,2,5,3,75,42,48,0,61
1,9.24,4,5,4,78,76,64,1,87
2,6.62,0,4,2,79,43,63,0,55
5,7.2,0,7,0,80,54,97,0,62
6,6.62,1,5,0,40,67,67,1,54
1,6.55,2,4,3,56,76,57,0,63
5,8.74,3,3,1,67,48,83,0,67
1,8.74,4,6,4,46,53,65,1,80
2,7.59,2,3,3,59,98,49,1,67
1,8.29,1,5,4,81,71,88,0,74
3,7.56,0,7,4,63,87,83,0,72
4,5.14,4,3,5,92,42,73,1,67
3,5.33,0,7,0,40,86,85,0,52
2,6.92,4,5,2,57,57,77,1,69
2,8.75,3,7,2,65,89,50,1,82
1,9.57,4,3,1,53,53,53,0,72
6,5.15,3,5,2,58,64,94,0,60
5,6.84,2,2,3,57,78,85,0,59
4,6.12,0,6,0,96,65,77,1,59
5,9.08,4,1,0,84,99,40,0,72
6,9.23,4,6,4,46,91,56,0,86
2,6.03,1,3,3,41,45,88,0,50
4,8.55,0,4,3,46,65,56,0,62
3,8.66,2,1,4,67,87,49,0,68
2,5.89,3,7,5,67,93,69,1,78
2,7.17,2,7,5,81,90,81,1,82
1,8.1,1,5,4,56,80,85,1,71
6,5.13,2,7,0,69,91,72,1,62
1,7.02,3,1,3,60,40,41,0,57
1,5.77,0,7,2,76,89,89,1,64
5,7.71,1,4,2,48,60,59,0,60
2,9.21,4,4,0,75,53,71,1,74
6,7.62,4,6,2,91,85,42,1,82
1,5.18,0,7,2,61,47,75,1,55
3,5.15,2,7,3,54,94,44,1,66
4,8.03,4,5,3,53,64,59,1,75
6,6.64,1,6,1,66,88,42,1,64
5,7.86,3,3,3,57,57,42,0,67
6,5.82,2,3,1,49,54,75,1,50
2,8.88,3,2,5,87,81,45,1,79
5,9.3,2,6,3,61,59,78,0,78
4,9.45,1,4,4,62,55,75,1,72
3,6.52,3,2,3,91,46,63,0,63
1,8.3,1,4,1,81,68,86,1,66
6,6.4,3,2,2,80,70,77,0,61
5,8.81,2,6,3,87,68,76,0,80
4,5.6,1,3,2,44,56,47,0,48
1,8.81,2,4,2,90,44,77,0,72
4,7.2,2,6,3,64,57,88,1,70
3,9.28,3,6,3,40,53,55,0,77
1,8.69,3,3,4,63,70,82,0,74
1,6.88,1,1,5,72,89,40,0,61
1,9.52,4,3,1,97,57,53,0,78
5,6.42,0,4,3,95,86,84,0,63
1,9.83,3,1,2,76,64,49,0,71
4,8.84,2,2,2,46,50,49,1,61
5,9.95,0,5,3,63,65,61,1,73
1,5.27,1,4,1,54,44,79,1,48
4,6.37,0,7,5,50,55,80,0,65
4,8.71,0,5,2,83,47,70,1,67
6,9.61,4,5,5,56,52,43,0,85
4,5.14,4,1,5,88,97,82,1,67
2,5.0,0,2,4,62,71,62,1,48
3,6.28,4,3,2,88,93,80,1,70
1,9.26,4,1,1,43,66,51,1,65
1,8.84,0,2,0,70,88,84,1,58
1,6.7,3,7,4,93,65,47,1,80
4,5.01,4,7,4,73,48,99,1,72
4,7.77,0,3,0,49,86,84,1,53
1,6.19,3,3,4,76,46,63,1,64
2,8.73,4,2,4,49,98,40,0,75
5,7.23,0,3,4,81,89,65,1,64
5,8.39,4,4,2,98,85,61,0,81
3,9.26,3,4,2,50,47,82,0,71
6,7.68,0,1,3,70,41,64,1,53
3,6.68,3,3,3,49,57,70,0,61
1,8.85,2,3,2,82,75,95,1,71
1,6.33,1,2,4,77,63,73,0,58
1,9.46,2,4,1,92,94,76,1,77
6,5.36,4,5,0,81,73,50,1,64
4,9.18,3,1,3,47,81,43,1,68
6,5.46,0,6,4,50,77,47,1,59
3,5.28,3,4,3,59,50,96,1,59
4,6.82,4,2,5,63,98,83,1,72
4,9.78,0,1,1,98,91,74,0,66
3,9.92,2,5,5,90,49,64,0,85
4,6.01,3,7,4,46,68,70,0,71
5,5.74,1,6,2,99,88,88,0,67
3,6.76,4,1,1,60,95,62,0,61
3,6.69,4,4,3,83,79,79,1,74
5,8.8,3,5,4,92,45,77,0,81
6,7.22,2,6,5,45,87,43,1,74
6,8.9,2,2,4,70,49,75,0,69
6,8.74,1,1,0,51,69,46,1,54
4,7.89,1,4,0,76,94,49,0,64
5,9.17,3,2,5,52,67,45,0,74
3,5.98,0,5,0,88,68,70,1,55
3,5.81,2,1,2,70,90,43,0,54
3,8.75,0,3,4,48,64,60,0,63
4,6.22,0,4,4,66,75,81,1,59
4,5.01,3,4,3,91,66,59,1,64
2,9.56,1,3,2,92,73,56,1,72
6,8.11,0,2,0,56,91,91,0,54
2,7.22,3,4,4,90,73,45,1,75
2,8.63,1,2,0,90,71,50,0,62
4,6.67,0,5,1,47,83,57,0,55
6,9.77,0,3,2,66,43,94,1,63
6,5.34,1,2,0,79,87,48,1,49
3,8.2,1,5,2,96,73,51,0,72
4,8.89,4,7,5,97,55,70,1,93
6,7.35,4,1,4,54,99,70,0,68
2,8.77,3,4,1,78,86,82,0,75
5,9.63,3,3,3,45,85,97,0,75
5,8.72,2,1,1,71,50,89,0,60
4,6.55,4,7,2,87,54,94,1,77
3,7.81,1,1,1,47,95,73,1,54
3,9.56,4,1,4,74,77,55,1,78
6,7.25,3,2,2,70,69,80,0,63
4,8.41,3,7,2,81,95,87,0,84
5,7.33,3,4,4,65,66,51,0,71
2,5.61,1,3,5,81,55,88,0,59
6,5.29,0,6,0,63,40,52,1,49
2,9.76,3,6,3,90,64,75,0,87
6,8.06,4,4,5,100,67,52,1,84
1,5.52,0,4,5,41,82,83,0,55
2,9.29,4,4,1,80,53,41,1,77
4,7.61,3,5,5,40,73,88,0,74
2,8.86,1,7,3,49,95,54,1,77
2,5.63,0,5,3,97,87,52,1,63
6,9.53,0,5,5,89,43,73,0,77
5,7.95,3,5,4,62,53,65,0,74
1,8.69,3,4,0,72,55,45,0,69
2,5.16,3,4,3,83,54,60,0,62
5,6.58,2,6,2,76,73,83,1,69
3,6.34,1,3,5,99,52,100,1,65
1,9.75,1,6,0,96,56,72,1,75
1,5.93,3,6,4,96,67,54,1,75
6,8.54,2,3,5,50,91,74,0,73
2,5.21,3,3,3,59,49,67,1,56
3,5.99,3,6,5,65,86,81,0,75
6,6.69,1,6,4,85,56,45,0,70
4,8.97,2,6,1,86,47,76,0,75
5,8.95,1,3,4,41,41,93,1,63
5,9.76,3,3,2,64,95,79,1,77
6,9.58,4,5,4,98,97,45,1,93
5,5.41,0,4,0,43,40,50,1,41
2,9.15,3,3,1,58,94,53,0,72
5,7.26,2,2,5,52,94,60,0,66
2,9.33,4,7,5,58,44,98,1,88
4,5.45,2,3,2,52,74,59,1,53
3,9.11,3,3,1,94,61,44,0,74
1,5.8,3,4,2,51,82,84,0,61
6,6.67,0,6,5,41,55,98,0,62
6,5.14,2,5,1,76,92,48,1,60
2,5.62,4,1,3,89,48,69,1,60
4,7.23,0,6,4,62,75,81,0,67
4,9.09,2,6,0,94,48,82,0,75
1,8.87,3,4,0,58,53,77,1,67
3,6.18,0,5,3,42,49,92,1,53
6,5.76,3,2,1,63,61,98,1,53
2,6.95,1,7,4,62,55,66,1,70
4,9.42,1,7,3,43,80,95,0,77
6,5.46,0,1,1,57,42,44,1,38
2,7.71,0,7,4,51,67,44,1,69
5,5.44,2,5,1,100,69,87,0,63
6,7.35,4,6,0,74,68,95,1,73
3,5.63,4,5,4,66,40,96,1,67
2,5.4,1,4,0,82,67,79,0,52
3,5.95,1,5,0,53,61,54,0,52
6,6.28,1,3,4,98,71,86,1,64
5,6.38,3,5,3,70,91,48,1,71
3,8.23,4,1,1,42,50,86,1,59
4,5.27,0,5,4,44,65,64,1,54
2,5.4,1,2,5,68,70,47,1,56
6,5.94,2,7,0,78,59,53,1,64
5,9.36,0,3,1,91,59,78,0,65
4,8.14,0,1,4,56,72,71,1,57
6,8.65,0,1,3,58,44,70,1,55
5,6.85,4,6,4,74,80,100,1,80
4,6.07,1,4,4,72,42,62,0,59
3,5.19,2,7,2,47,83,83,1,62
6,7.44,3,4,5,91,89,40,1,80
6,7.87,2,3,1,76,99,86,1,67
3,9.49,2,1,4,74,73,70,1,71
1,9.41,2,6,0,59,70,46,1,73
4,7.12,3,2,0,56,81,54,0,58
3,7.12,2,5,2,84,46,81,1,67
6,5.81,2,5,0,52,69,45,1,55
4,6.29,1,5,4,43,93,55,1,63
4,9.63,1,4,1,89,57,53,0,71
1,5.71,1,1,2,97,55,83,0,51
6,9.84,0,1,5,69,52,56,0,66
5,7.52,2,2,2,45,72,49,1,58
1,7.28,4,4,3,41,46,68,1,66
1,5.87,4,2,3,54,69,81,0,60
5,8.31,4,1,1,96,50,47,0,68
5,7.3,3,5,1,73,45,96,1,67
1,6.85,1,7,2,91,60,50,0,70
4,6.32,1,4,4,100,71,98,1,67
3,5.33,1,4,4,59,44,57,1,54
3,7.6,3,4,3,55,81,84,1,70
1,6.56,2,6,1,99,68,59,1,69
4,8.54,0,6,1,82,74,55,1,69
5,8.62,1,5,4,88,98,66,1,79
2,6.66,2,6,3,68,86,62,0,71
1,8.35,4,4,4,66,51,53,0,77
6,6.29,0,6,4,94,76,51,0,68
4,8.64,4,6,2,40,85,84,1,78
6,5.08,2,3,1,52,83,66,0,51
6,5.76,2,4,2,79,61,52,0,60
1,6.23,4,6,2,71,50,55,1,70
4,8.86,0,5,4,42,62,72,0,67
6,5.33,4,6,3,53,94,63,0,70
4,5.94,4,6,4,95,84,51,1,80
3,6.79,4,7,5,95,49,48,1,84
2,5.05,0,4,3,97,81,52,0,58
6,8.81,3,6,1,67,63,84,1,76
6,7.8,0,3,5,85,92,47,1,69
4,9.5,4,3,5,65,85,89,0,84
2,5.16,1,7,5,60,91,95,1,68
3,6.36,1,6,0,85,55,95,1,60
6,8.66,2,4,1,90,51,57,0,70
1,8.38,3,1,4,50,94,66,0,68
4,6.22,2,1,3,66,89,80,0,57
4,7.98,2,2,5,83,71,72,1,71
6,8.97,1,3,0,98,63,46,1,66
3,5.17,0,1,5,96,43,52,0,51
6,8.59,2,2,3,40,81,54,0,64
5,6.26,2,1,3,72,72,73,0,56
6,9.74,3,4,0,85,57,95,1,75
2,7.69,1,6,0,57,86,79,0,65
2,5.17,0,3,1,100,56,59,0,50
5,7.02,3,1,2,97,60,95,1,63
2,9.83,0,4,5,93,40,76,1,76
2,8.65,0,2,0,41,98,80,0,54
1,6.5,2,4,5,43,85,56,1,66
4,7.88,3,2,2,93,83,68,0,70
2,8.0,2,1,2,89,64,60,0,63
4,5.12,4,6,2,43,98,53,1,66
3,5.89,0,5,2,94,70,68,1,60
6,7.76,3,6,0,56,82,80,0,70
1,7.01,1,4,5,87,59,86,1,69
5,5.95,2,5,3,55,65,61,1,62
3,8.86,4,3,5,48,58,91,0,76
1,7.44,4,5,5,65,69,72,1,79
1,6.55,4,6,0,49,64,52,1,66
5,5.81,2,3,0,46,75,81,0,50
5,8.06,1,7,4,48,88,70,0,75
4,8.33,3,1,4,94,57,51,1,71
6,8.35,0,1,1,87,43,71,1,54
3,6.1,1,4,2,66,66,85,0,57
6,7.98,2,5,2,71,72,45,0,71
3,9.53,3,3,4,88,45,50,1,79
1,6.77,0,3,3,62,46,62,0,53
2,6.05,3,5,1,66,40,46,1,60
2,8.86,0,6,5,64,77,96,0,76
5,5.88,0,7,3,68,74,59,0,63
5,6.27,4,1,4,63,62,43,1,62
1,5.5,2,6,5,55,55,60,1,65
1,6.34,1,1,3,55,98,83,0,54
3,7.05,4,3,2,67,73,69,1,68
1,5.32,4,4,4,59,73,64,1,66
3,9.36,3,7,5,92,70,70,1,93
6,7.57,0,1,3,58,82,41,1,55
5,7.94,0,2,1,49,70,59,1,52
5,6.86,3,3,1,65,91,85,0,63
2,8.35,2,5,0,99,50,80,1,70
2,7.16,0,5,5,41,47,93,1,61
5,8.81,4,6,4,42,90,53,1,84
6,9.11,4,6,4,78,63,77,1,88
6,8.36,0,3,5,95,62,62,1,70
4,7.46,0,6,4,41,71,44,1,65
3,8.91,2,6,2,64,92,91,1,78
2,7.47,0,3,2,84,54,98,0,58
3,5.56,2,1,4,43,67,58,1,51
2,5.58,4,3,5,54,59,89,0,64
4,9.74,2,3,3,57,53,46,1,71
5,6.07,0,6,2,46,65,60,1,56
3,9.08,1,2,5,66,97,72,1,72
2,6.23,0,5,4,57,89,59,1,62
3,7.15,1,6,2,46,96,48,1,66
5,8.27,4,1,5,95,91,70,1,79
1,5.79,3,4,0,68,76,47,1,59
2,8.69,4,1,1,80,41,50,1,66
1,8.45,4,5,0,99,73,46,0,79
4,7.72,4,4,4,83,73,60,1,79
6,7.83,2,3,5,98,97,88,0,78
3,5.53,4,2,1,72,73,67,0,58
2,7.18,3,2,3,41,48,92,0,58
3,5.43,0,5,4,57,100,54,0,60
4,6.54,1,6,3,85,83,47,0,70
4,9.5,4,5,3,62,92,91,0,85
3,7.87,1,2,2,45,98,51,0,59
2,8.71,4,7,2,82,93,44,0,88
5,7.87,2,4,1,64,91,47,1,67
5,5.97,1,4,1,58,89,76,1,55
6,7.97,4,6,5,47,42,53,0,78
3,8.78,4,1,2,92,69,43,1,73
3,5.69,3,3,1,76,58,66,0,57
2,9.08,3,6,5,65,70,54,0,85
3,7.78,3,4,0,68,55,59,1,64
2,5.02,2,3,4,98,82,100,1,63
3,7.6,1,5,0,67,98,61,1,64
4,6.98,2,4,4,92,97,81,1,74
1,6.48,0,4,5,95,95,88,0,68
3,8.86,4,4,2,46,63,75,1,73
1,9.5,4,1,0,98,54,69,1,71
5,8.81,4,6,3,99,61,72,1,87
6,9.23,3,5,0,94,71,67,0,78
5,9.54,4,2,1,75,50,77,1,72
3,9.56,3,1,0,54,68,79,1,63
2,5.57,0,1,2,93,81,43,0,50
5,7.28,2,4,2,100,98,95,0,72
4,5.0,2,1,1,72,63,53,0,47
1,7.53,2,6,4,93,58,41,0,77
2,9.62,3,6,1,44,94,76,1,79
2,6.0,1,6,5,68,44,86,1,65
3,8.2,1,2,4,56,85,58,1,64
4,8.22,0,1,2,84,80,53,1,59
1,5.8,1,7,2,66,96,46,0,66
4,6.19,0,6,5,56,92,100,1,66
5,7.31,4,1,4,90,77,48,1,71
3,5.94,2,4,0,43,40,72,0,49
2,7.92,3,5,0,88,99,63,0,75
2,7.42,0,6,1,51,69,91,0,60
5,7.6,3,2,2,97,51,100,1,67
2,5.67,3,4,0,62,85,81,0,58
6,7.59,2,1,2,89,43,82,1,59
3,5.25,4,6,1,50,54,60,0,62
5,9.41,4,2,3,75,56,83,0,76
3,6.72,1,7,2,51,91,40,0,67
1,9.28,4,3,3,48,51,60,1,73
3,8.51,2,6,2,63,40,96,0,71
3,8.83,3,7,4,57,52,79,0,82
1,6.57,0,7,5,66,69,63,1,69
5,6.14,0,6,3,98,49,77,1,64
3,7.03,4,1,4,48,75,83,0,64
4,5.12,1,5,5,72,45,80,1,60
3,9.59,0,1,4,45,48,43,1,59
5,6.94,1,5,1,90,89,45,1,66
2,9.94,0,3,1,72,41,42,1,63
1,8.81,1,4,0,79,45,73,0,63
2,5.4,1,4,3,45,50,64,1,51
5,8.3,3,7,0,43,65,92,1,71
6,6.35,2,6,3,42,67,66,0,64
2,6.22,0,4,1,52,52,57,0,49
3,6.28,4,2,1,65,77,44,0,60
3,9.58,2,5,5,73,51,93,1,81
